YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2023,3,5,22,0,0,0,0,0,0,0,0,2.33,-1.77,0.28,4.7,76,0,72.76,0.7,34.94,1.332557757,33.69
2023,3,5,23,0,0,0,0,0,0,0,0,1.76,-2.3,-0.27,4.52,76.25,0,72.72,0.89,34.25,1.694252005,34.06
2023,3,6,0,0,0,0,0,0,0,0,0,1.24,-3.06,-0.92,4.27,74.69,0,72.68,1.06,33.57,2.017873175,33.43
2023,3,6,1,0,0,0,0,0,0,0,0,0.95,-4.07,-1.56,3.97,70.75,0,72.62,1.14,32.92,2.17016549,32.45
2023,3,6,2,0,0,0,0,0,0,0,0,0.89,-5.13,-2.12,3.66,65.44,0,72.57,1.15,33.37,2.18920203,33.05
2023,3,6,3,0,0,0,0,0,0,0,0,0.89,-6.16,-2.63,3.36,60.31,0,72.53,1.14,33.8,2.17016549,33.76
2023,3,6,4,0,0,0,0,0,0,0,0,0.88,-7.08,-3.1,3.11,56.12,0,72.52,1.13,35.12,2.151128951,34.79
2023,3,6,5,0,0,0,0,0,0,0,0,0.83,-8.09,-3.63,2.93,52.12,0,72.54,1.13,36,2.151128951,35.92
2023,3,6,6,0.03,0.02,0.05,1.5,1.7,0.27,0,0,0.88,-8.99,-4.06,2.69,48.31,0,72.59,1.13,37.67,2.151128951,37.68
2023,3,6,7,0.59,0.59,0.89,63.2,64.5,8.4,0.04,0.2,3.56,-7.04,-1.74,3.23,47.5,0,72.64,0.9,43.24,1.713288545,41.99
2023,3,6,8,1.54,1.55,1.94,173.52,177.08,25.42,0.4,1.95,7.19,-7.84,-0.32,2.99,34.69,0,72.7,0.34,276.63,0.647242339,277.67
2023,3,6,9,2.33,2.42,2.84,271.52,279.17,42.99,1.06,5.3,9.73,-8.31,0.72,2.99,28.81,0,72.74,2.37,234.37,4.511659835,234.32
2023,3,6,10,2.97,3.08,3.53,349.42,357.05,56.67,1.77,9.1,11.44,-7.8,1.82,3.05,26.44,0,72.76,3.46,227.11,6.586642628,227.21
2023,3,6,11,3.26,3.5,3.96,390.52,405.98,64.57,2.28,12.17,12.48,-6.78,2.85,3.3,26.44,0,72.75,4.17,223.78,7.938236924,223.84
2023,3,6,12,2.87,3.47,4.11,346.25,400.67,55.46,1.97,10.52,12.9,-5.6,3.65,3.54,27.81,0,72.7,4.52,222.62,8.604515803,222.7
2023,3,6,13,2.72,3.35,3.96,331.38,385.58,52.75,1.83,9.75,12.84,-4.3,4.27,3.91,30.56,0,72.64,4.53,223.25,8.623552342,223.38
2023,3,6,14,2.18,2.92,3.52,266.5,335.65,41.63,1.29,6.85,12.38,-3.47,4.46,4.15,33.44,0,72.59,4.35,225.44,8.280894633,225.58
2023,3,6,15,1.62,2.26,2.83,191.8,258.33,29.04,0.7,3.55,11.46,-3.1,4.18,4.21,36.44,0,72.55,4.01,228,7.633652294,228.2
2023,3,6,16,1.01,1.42,1.93,114.73,159.5,15.72,0.24,1.17,10.05,-3,3.53,4.27,40.31,0,72.54,3.37,229.89,6.415313773,230.1
2023,3,6,17,0.44,0.57,0.92,48.65,62.12,6.91,0.04,0.17,7.73,-2.17,2.78,4.58,50.62,0,72.55,2.09,226.96,3.978636732,227.61
2023,3,6,18,0,0,0,0,0,0,0,0,5.24,-1.86,1.69,4.7,61.31,0,72.58,1.03,217.57,1.960763557,218.03
2023,3,6,19,0,0,0,0,0,0,0,0,4.82,-2.16,1.33,4.58,61.69,0,72.63,0.27,181.68,0.513986563,183.95
2023,3,6,20,0,0,0,0,0,0,0,0,3.56,-2.38,0.58,4.52,66.31,0,72.67,0.44,68.96,0.837607733,72.85
2023,3,6,21,0,0,0,0,0,0,0,0,2.72,-2.77,-0.02,4.33,68.38,0,72.68,0.68,56.67,1.294484678,55.35
2023,3,6,22,0,0,0,0,0,0,0,0,2.07,-3.29,-0.61,4.21,68.94,0,72.67,0.89,49.62,1.694252005,48.08
2023,3,6,23,0,0,0,0,0,0,0,0,1.62,-4.05,-1.21,3.97,67.31,0,72.65,1.01,43.74,1.922690478,43.34
2023,3,7,0,0,0,0,0,0,0,0,0,1.51,-5.06,-1.77,3.66,62.88,0,72.63,1.02,41.27,1.941727017,40.69
2023,3,7,1,0,0,0,0,0,0,0,0,1.81,-6.1,-2.14,3.42,56.81,0,72.6,0.91,38.74,1.732325084,38.04
2023,3,7,2,0,0,0,0,0,0,0,0,2.03,-6.94,-2.45,3.17,52.31,0,72.56,0.79,33.69,1.503886612,33.49
2023,3,7,3,0,0,0,0,0,0,0,0,2.01,-7.55,-2.77,3.05,49.81,0,72.53,0.76,28.14,1.446776993,27.96
2023,3,7,4,0,0,0,0,0,0,0,0,1.56,-8.16,-3.3,2.87,48.94,0,72.53,0.87,25.64,1.656178927,25.8
2023,3,7,5,0,0,0,0,0,0,0,0,1.17,-8.86,-3.85,2.69,47.56,0,72.56,0.99,24.33,1.884617399,24.17
2023,3,7,6,0.03,0.02,0.06,1.83,2.02,0.31,0,0,1.01,-9.61,-4.31,2.56,45.25,0,72.61,1.1,23.47,2.094019333,23.44
2023,3,7,7,0.65,0.66,0.91,69.98,71.85,9.45,0.05,0.25,3.55,-7.45,-1.95,3.11,46,0,72.66,1.03,24.23,1.960763557,23.8
2023,3,7,8,1.52,1.62,1.96,173.45,184.42,26.27,0.42,2.1,7.63,-8.69,-0.52,2.81,31.5,0,72.73,0.87,321.18,1.656178927,321.47
2023,3,7,9,2.35,2.48,2.86,273.27,285.45,43.97,1.12,5.6,10.53,-9.09,0.73,2.81,25.88,0,72.76,2.33,249.98,4.435513677,250.14
2023,3,7,10,2.89,3.13,3.55,341.92,361.27,56.27,1.8,9.35,12.37,-8.6,1.88,2.87,23.25,0,72.77,3.24,234.93,6.167838761,235.08
2023,3,7,11,3.29,3.53,3.98,392.08,408.23,64.34,2.29,12.15,13.55,-7.67,2.94,3.05,22.88,0,72.76,4.12,226.54,7.843054228,226.59
2023,3,7,12,3.32,3.53,4.12,395.45,410.35,63.34,2.27,12.15,13.94,-6.34,3.8,3.36,24.5,0,72.72,4.78,223.48,9.099465827,223.58
2023,3,7,13,2.92,3.37,3.97,352.55,390.25,55.68,1.92,10.25,13.68,-4.88,4.4,3.72,27.62,0,72.68,4.96,223.09,9.442123536,223.19
2023,3,7,14,2.35,2.93,3.53,281.4,339.3,44.31,1.38,7.25,12.94,-3.88,4.53,3.97,31.06,0,72.65,4.75,224,9.042356209,224.26
2023,3,7,15,1.73,2.26,2.84,204.1,259.42,30.84,0.75,3.77,11.84,-3.4,4.23,4.15,34.56,0,72.64,4.38,223.77,8.338004252,224.03
2023,3,7,16,1.01,1.41,1.94,116.88,159.08,16.6,0.27,1.3,10.22,-3.08,3.57,4.21,39.5,0.02,72.66,3.71,223.64,7.062556113,223.87
2023,3,7,17,0.44,0.56,0.94,49.92,60.83,7.5,0.04,0.2,7.76,-2.1,2.83,4.58,50.69,0.02,72.69,2.32,220.23,4.416477138,221.25
2023,3,7,18,0,0,0,0,0,0,0,0,5.37,-1.82,1.77,4.7,61,0.03,72.73,1.21,216.05,2.303421266,217.9
2023,3,7,19,0,0,0,0,0,0,0,0,5.34,-2.2,1.57,4.52,59.19,0.01,72.78,0.48,211.12,0.913753891,209.83
2023,3,7,20,0,0,0,0,0,0,0,0,4.59,-2.21,1.19,4.52,62.56,0,72.82,0.23,90,0.437840406,98.47
2023,3,7,21,0,0,0,0,0,0,0,0,4.05,-2.3,0.87,4.52,64.69,0,72.85,0.48,63.85,0.913753891,67.47
2023,3,7,22,0,0,0,0,0,0,0,0,3.59,-2.49,0.55,4.46,65.88,0,72.85,0.64,56.89,1.218338521,57.41
2023,3,7,23,0,0,0,0,0,0,0,0,3.33,-2.81,0.26,4.33,65.5,0,72.84,0.73,54.96,1.389667375,55.09
2023,3,8,0,0,0,0,0,0,0,0,0,3.13,-3.34,-0.1,4.15,63.75,0,72.81,0.81,52.03,1.54195969,51.68
2023,3,8,1,0,0,0,0,0,0,0,0,2.91,-4.1,-0.6,3.97,61,0,72.76,0.85,50.6,1.618105848,49.91
2023,3,8,2,0,0,0,0,0,0,0,0,2.73,-4.84,-1.06,3.72,58.12,0,72.72,0.85,51.75,1.618105848,51.03
2023,3,8,3,0,0,0,0,0,0,0,0,2.55,-5.47,-1.45,3.54,55.81,0,72.69,0.81,47.73,1.54195969,46.71
